id,cause_of_death,region_origin,affected_nationality,missing,dead,incident_region,date,source,reliability,lat,lon
63777,Unknown (skeletal remains),,,,1,U.S./Mexico Border,05/05/2016,Pima County Office of the Medical Examiner,Verified,32.95333,-111.23692
63778,Unknown (skeletal remains),Central America,,,1,U.S./Mexico Border,14/05/2016,Pima County Office of the Medical Examiner,Verified,31.963317,-112.38265
63780,Unknown (skeletal remains),Central America,,,1,U.S./Mexico Border,17/05/2016,Pima County Office of the Medical Examiner,Verified,32.16702,-111.43136
63781,Unknown (skeletal remains),,,,1,U.S./Mexico Border,22/05/2016,Pima County Office of the Medical Examiner,Verified,32.35183,-112.959916
63782,Unknown (skeletal remains),,,,1,U.S./Mexico Border,25/05/2016,Pima County Office of the Medical Examiner,Verified,31.82115,-110.18449
64178,Bronchopneumonia,,,,1,Central America incl. Mexico,18/05/2016,La Prensa,Partially Verified,10.06666551,-84.61666736
64577,Drowning,Central America,,,1,U.S./Mexico Border,29/05/2016,La Voz,Partially Verified,32.7053266,-115.0585765
64977,Drowning,,"Egypt, Ethiopia, Eritrea, Sudan, Comoros",329,10,Mediterranean,02/06/2016,IOM Greece,Verified,33.66615256,25.07097028
65378,drowning,Sub-Saharan Africa,,,1,Mediterranean,19/11/2015,El Diario,Partially Verified,36.5941684,-3.53200644
65379,Hit by train,Central America,,,1,Central America incl. Mexico,31/07/2014,Imagen del Golfo,Partially Verified,18.53911668,-96.60600645
65777,Likely suffocation (found dead in a truck),MENA,Afghanistan,,1,Europe,27/12/2015,El Siglo de Torreon,Partially Verified,51.01635195,2.39943772
65778,Fell from train,Central America & Mexico,,,1,Central America incl. Mexico,11/10/2014,InfoNogales,Partially Verified,30.54229242,-111.1209907
66177,Drowning,MENA,Algerian,,1,Mediterranean,15/02/2016,Spanish Ministry of the Interior via IOM Spain,Verified,35.99591955,-5.606000646
66178,Drowning,Sub-Saharan Africa,"Cameroon (2) Gambia (1), Mauritius (1), Ivory Coast (2)",6,,Mediterranean,15/04/2016,Asociación Pro Derechos Humanos de Andalucía (APDHA),Verified,36.71789535,-3.528978961
66179,Drowning,,,3,,Mediterranean,23/04/2016,Asociación Pro Derechos Humanos de Andalucía (APDHA),Verified,36.64193341,-2.178977745
66181,Drowning,Sub-Saharan Africa,,10,10,North Africa,10/05/2016,Asociación Pro Derechos Humanos de Andalucía (APDHA),Verified,27.44312007,-14.64234553
66182,Drowning,MENA,Syria,,1,Europe,02/06/2016,AP,Partially Verified,46.12930146,20.05177896
66183,,Sub-Saharan Africa,,,1,Mediterranean,06/06/2016,2M.ma,Partially Verified,35.17586019,-2.935815921
66577,,,,20,,Mediterranean,06/03/2016,Asociación Pro Derechos Humanos de Andalucía (APDHA),Verified,36.82865274,-2.461843753
